,property_type,barrio,rooms,price,lat,lon,distancia_minima_escuela (m)
58679,Departamento,Palermo,1.0,77000.0,-34.5962501673,-58.4149563522,71.74014553627853
58690,Departamento,Palermo,1.0,95000.0,-34.5904467931,-58.424826925,355.7017695529372
58691,Departamento,Belgrano,2.0,104000.0,-34.5701014,-58.4505257,114.4037086295595
58692,Departamento,Belgrano,2.0,144800.0,-34.5653231,-58.46104939999999,104.56971370280881
58693,Departamento,Belgrano,1.0,125000.0,-34.56394958,-58.44221497,246.81613416080654
58695,Departamento,Belgrano,2.0,139000.0,-34.57536697,-58.45851898,212.02274022933727
58703,Departamento,Saavedra,2.0,100000.0,-34.555477,-58.484611,298.2567723569963
58704,Departamento,Balvanera,3.0,130000.0,-34.61330032,-58.39162064,119.88820228073719
58706,Departamento,Caballito,3.0,130000.0,-34.6194495,-58.4521172,73.40865007197424
58708,Departamento,Caballito,2.0,117000.0,-34.6075773,-58.4412134,113.45541651129405
58709,Departamento,Caballito,1.0,70000.0,-34.6249799,-58.4517827,87.46556911903015
58711,Departamento,Caballito,3.0,137000.0,-34.6143682,-58.4484162,51.19240063958097
58712,Departamento,Chacarita,1.0,130000.0,-34.5834184,-58.4461304,231.86854036275318
58713,Departamento,Mataderos,3.0,89000.0,-34.64733505,-58.4923172,204.2159666206946
58714,Departamento,San Telmo,1.0,120000.0,-34.6209506,-58.3788368,124.92545516458362
58715,Departamento,San Telmo,1.0,85000.0,-34.624632299999995,-58.3769399,92.52626728493371
58716,Departamento,San Telmo,1.0,85000.0,-34.624632299999995,-58.3769399,92.52626728493371
58717,Departamento,Versalles,1.0,80000.0,-34.629155,-58.5053502,153.03990175920504
58718,Departamento,Versalles,2.0,110000.0,-34.629155,-58.5053502,153.03990175920504
58719,Departamento,Versalles,2.0,110000.0,-34.629155,-58.5053502,153.03990175920504
58720,Departamento,Versalles,2.0,110000.0,-34.629155,-58.5053502,153.03990175920504
58721,Departamento,Versalles,1.0,80000.0,-34.629155,-58.5053502,153.03990175920504
58722,Departamento,Versalles,1.0,80000.0,-34.629155,-58.5053502,153.03990175920504
58723,Departamento,Villa Luro,1.0,87000.0,-34.6396284,-58.4974226,222.83878242346546
58725,Departamento,Barrio Norte,1.0,120000.0,-34.5973304,-58.4216121,208.58108881237084
58726,Departamento,Barrio Norte,1.0,130000.0,-34.5973304,-58.4216121,208.58108881237084
58728,Departamento,Villa Crespo,1.0,118125.0,-34.5810295,-58.4327598,159.2566690368888
58729,Departamento,Villa Crespo,2.0,149500.0,-34.597787200000006,-58.43050160000001,174.43481600552693
58730,Departamento,Villa Crespo,1.0,60000.0,-34.59867,-58.45145,186.6468111054814
58732,Departamento,Constitución,1.0,75000.0,-34.6254075,-58.3929851,164.26651863504267
58734,Departamento,Villa Urquiza,1.0,128000.0,-34.5752179,-58.4839384,118.37370276781529
58739,Departamento,Velez Sarsfield,1.0,80000.0,-34.629155,-58.5053502,153.03990175920504
58740,Departamento,Velez Sarsfield,2.0,110000.0,-34.629155,-58.5053502,153.03990175920504
58741,Departamento,Velez Sarsfield,2.0,110000.0,-34.629155,-58.5053502,153.03990175920504
58742,Departamento,Velez Sarsfield,1.0,80000.0,-34.629155,-58.5053502,153.03990175920504
58743,Departamento,Velez Sarsfield,2.0,110000.0,-34.629155,-58.5053502,153.03990175920504
58744,Departamento,Velez Sarsfield,1.0,80000.0,-34.629155,-58.5053502,153.03990175920504
58748,Departamento,Parque Centenario,1.0,98000.0,-34.612623,-58.43655370000001,38.96313815206016
58749,Departamento,Parque Centenario,1.0,85000.0,-34.6053838,-58.43065229999999,178.7838867535108
58753,Local comercial,Belgrano,2.0,50000.0,-34.565388899999995,-58.452994,153.87493832546141
58767,Departamento,Liniers,1.0,88000.0,-34.6462644,-58.52000570000001,139.40171197472915
58768,PH,Palermo,2.0,100000.0,-34.577686770700005,-58.428510814300004,238.80417689922638
58769,PH,Palermo,2.0,100000.0,-34.5777589813,-58.4281613243,270.5772867415292
58770,PH,Parque Chas,2.0,139000.0,-34.5808404,-58.47793370000001,307.7696817745023
58771,PH,Parque Chas,2.0,139000.0,-34.5808404,-58.47793370000001,307.7696817745023
58773,Departamento,Once,2.0,108000.0,-34.6060828,-58.4019671,108.2866761493117
58774,Departamento,Boedo,2.0,122000.0,-34.6303595,-58.4177522,288.01656173237933
58775,Departamento,Abasto,2.0,132411.0,-34.599332200000006,-58.4121705,53.411433981388036
58776,Departamento,Flores,2.0,99900.0,-34.634376,-58.460434,110.6570912888107
58777,Departamento,Flores,2.0,145000.0,-34.6291816279,-58.453728892600004,109.50015704761677
58780,Departamento,Nuñez,1.0,139000.0,-34.553028000000005,-58.473772,191.10749253339895
58781,Departamento,Almagro,1.0,118000.0,-34.611847,-58.42446500000001,119.88827852409125
58782,Departamento,Almagro,2.0,125000.0,-34.6039264,-58.41657560000001,128.4022458173588
58783,Departamento,Almagro,2.0,97000.0,-34.5982704598,-58.4281876326,170.3475786915695
58784,Departamento,Palermo,2.0,115000.0,-34.5780655,-58.42653170000001,317.0725444081904
58791,Departamento,Palermo,2.0,105000.0,-34.597653,-58.41606460000001,63.88580262311487
58793,Departamento,Palermo,2.0,98000.0,-34.575024,-58.4350336,126.66938994441085
58794,Departamento,Palermo,2.0,138000.0,-34.598843,-58.415723,84.55152678435152
58797,Departamento,Palermo,2.0,110000.0,-34.5849285834,-58.411457313,69.18670617053779
58802,Departamento,Palermo,2.0,130000.0,-34.5957852,-58.4249797,111.12123102191576
58805,Departamento,Belgrano,2.0,149000.0,-34.5868855,-58.4815007,159.85587148899862
58809,Departamento,Belgrano,2.0,128000.0,-34.5544025,-58.45773120000001,190.25650554309817
58811,Departamento,Paternal,2.0,100000.0,-34.60438679999999,-58.4517894,145.3791315617241
58815,Departamento,Recoleta,2.0,115000.0,-34.592320926300005,-58.4029605368,63.48145469893968
58817,Departamento,Recoleta,2.0,110000.0,-34.5849087571,-58.411472019399994,67.77641534851676
58818,Departamento,Recoleta,2.0,138000.0,-34.589701,-58.3936415,99.85948758215366
58822,Departamento,Saavedra,2.0,117000.0,-34.546817,-58.472825,147.547172425515
58824,Departamento,Balvanera,2.0,97000.0,-34.6049143,-58.3976606,52.20902415032212
58825,Departamento,Balvanera,2.0,145000.0,-34.5993849,-58.3988174,248.0124285455904
58826,Departamento,Balvanera,1.0,49900.0,-34.614237,-58.393154,183.21011531227617
58827,Departamento,Caballito,2.0,71000.0,-34.6195116,-58.4417887,144.19398248960266
58828,Departamento,Caballito,2.0,115000.0,-34.5996289,-58.43954520000001,69.77903175232544
58831,Departamento,Barrio Norte,2.0,110000.0,-34.5849352558,-58.4114398329,69.21771414135466
58834,Departamento,Villa Crespo,2.0,87000.0,-34.5943495435,-58.43896704300001,107.60897156946739
58837,Departamento,Villa Crespo,2.0,120000.0,-34.595387,-58.430728,63.02670928329787
58838,Departamento,Villa Crespo,2.0,125000.0,-34.594477600000005,-58.44276120000001,192.57420607953216
58841,Departamento,Puerto Madero,1.0,106000.0,-34.612609,-58.368067,154.52052159279467
58842,Departamento,Villa Urquiza,2.0,125000.0,-34.574071,-58.484991,66.07772771267632
58844,Departamento,Villa del Parque,2.0,120000.0,-34.5986027,-58.4974201,158.44072405016178
58846,Departamento,Villa del Parque,2.0,99000.0,-34.609464100000004,-58.4810392,54.753824329129024
